,Year,Round,Pick,Name,Team,Position,player_id,player_game_count,Grade,count,pickgrade,_merge,value
1806,2018,4,120,will dissly,Seahawks,TE,30762.0,10.0,76.8,1,60.5,both,16.299999999999997
1984,2019,3,89,bobby okereke,Colts,LB,50954.0,16.0,78.4,1,62.2,both,16.200000000000003
1299,2016,2,35,hunter henry,Chargers,TE,10669.0,41.0,81.6,1,65.4,both,16.19999999999999
469,2012,2,47,bobby wagner,Seahawks,LB,7050.0,119.0,81.8,1,65.7,both,16.099999999999994
1137,2015,3,88,danielle hunter,Vikings,DE,9521.0,78.0,78.0,1,62.0,both,16.0
912,2014,2,63,jarvis landry,Dolphins,WR,8698.0,96.0,80.3,1,64.3,both,16.0
1577,2017,3,96,kenny golladay,Lions,WR,11851.0,42.0,77.2,1,61.3,both,15.900000000000006
1425,2016,5,166,d.j. reader,Texans,DT,10800.0,61.0,77.1,1,61.2,both,15.899999999999991
885,2014,2,34,demarcus lawrence,Cowboys,DE,8669.0,80.0,81.3,1,65.4,both,15.899999999999991
52,2010,2,54,carlos dunlap,Bengals,DE,5579.0,148.0,79.1,1,63.4,both,15.699999999999996
87,2010,3,91,navorro bowman,49ers,LB,5615.0,94.0,77.5,1,62.0,both,15.5
1326,2016,3,64,kevin byard,Titans,DB,10698.0,64.0,80.0,1,64.7,both,15.299999999999997
1540,2017,2,55,dalvin tomlinson,Giants,DT,11810.0,48.0,78.4,1,63.3,both,15.100000000000009
290,2011,3,77,jurrell casey,Titans,DT,6229.0,139.0,78.5,1,63.4,both,15.100000000000001
432,2012,1,9,luke kuechly,Panthers,LB,7015.0,118.0,85.3,1,70.2,both,15.099999999999994
810,2013,6,199,theo riddick,Lions,RB,7980.0,80.0,74.5,1,59.5,both,15.0
1593,2017,4,112,eddie jackson,Bears,DB,11867.0,46.0,75.4,1,60.6,both,14.800000000000004
12,2010,1,13,brandon graham,Eagles,LB,5538.0,143.0,83.5,1,68.8,both,14.700000000000003
376,2011,6,180,tyrod taylor,Ravens,QB,6332.0,56.0,73.6,1,58.9,both,14.699999999999996
1397,2016,4,135,dak prescott,Cowboys,QB,10769.0,64.0,77.1,1,62.4,both,14.699999999999996
1729,2018,2,36,darius leonard,Colts,LB,49684.0,28.0,80.3,1,65.7,both,14.599999999999994
384,2011,6,189,mike mohamed,Broncos,LB,6341.0,18.0,73.8,1,59.2,both,14.599999999999994
1291,2016,1,27,kenny clark,Packers,DT,10661.0,60.0,80.6,1,66.0,both,14.599999999999994
1988,2019,3,94,jamel dean,Buccaneers,DB,34918.0,10.0,76.4,1,61.9,both,14.500000000000007
394,2011,7,211,bruce miller,49ers,LB,6363.0,75.0,73.7,1,59.3,both,14.400000000000006
806,2013,6,194,spencer ware,Seahawks,RB,7975.0,40.0,73.4,1,59.0,both,14.400000000000006
160,2010,6,175,greg hardy,Panthers,DE,5698.0,75.0,74.3,1,59.9,both,14.399999999999999
2030,2019,5,149,hunter renfrow,Raiders,WR,47509.0,13.0,75.5,1,61.1,both,14.399999999999999
45,2010,2,47,daryl washington,Cardinals,LB,5572.0,59.0,80.1,1,65.7,both,14.399999999999991
1700,2018,1,6,quenton nelson,Colts,G,12954.0,32.0,85.4,1,71.1,both,14.300000000000011
860,2014,1,7,mike evans,Buccaneers,WR,8642.0,90.0,84.9,1,70.6,both,14.300000000000011
1360,2016,3,98,justin simmons,Broncos,DB,10732.0,57.0,75.4,1,61.1,both,14.300000000000004
1482,2016,7,245,clayton fejedelem,Bengals,DB,10879.0,42.0,74.7,1,60.5,both,14.200000000000003
723,2013,3,94,brandon williams1,Ravens,DT,7875.0,97.0,76.1,1,61.9,both,14.199999999999996
1269,2016,1,3,joey bosa,Chargers,DE,10637.0,51.0,86.7,1,72.6,both,14.100000000000009
528,2012,4,110,ladarius green,Chargers,TE,7110.0,53.0,75.9,1,61.8,both,14.100000000000009
78,2010,3,82,emmanuel sanders,Steelers,WR,5606.0,144.0,76.6,1,62.5,both,14.099999999999994
521,2012,4,102,kirk cousins,Redskins,QB,7102.0,93.0,75.1,1,61.0,both,14.099999999999994
1516,2017,1,30,t.j. watt,Steelers,LB,11785.0,47.0,79.3,1,65.2,both,14.099999999999994
365,2011,5,165,pernell mcphee,Ravens,DE,6317.0,116.0,74.9,1,60.9,both,14.000000000000007
1676,2017,7,220,ifeadi odenigbo,Vikings,DE,11975.0,17.0,73.7,1,59.7,both,14.0
970,2014,4,128,tre boston,Panthers,DB,8763.0,82.0,75.3,1,61.4,both,13.899999999999999
1554,2017,3,69,cooper kupp,Rams,WR,11824.0,39.0,76.6,1,62.7,both,13.899999999999991
699,2013,3,69,tyrann mathieu,Cardinals,DB,7850.0,98.0,76.5,1,62.7,both,13.799999999999997
1904,2019,1,2,nick bosa,49ers,DE,42741.0,16.0,86.7,1,72.9,both,13.799999999999997
877,2014,1,25,jason verrett,Chargers,DB,8660.0,26.0,79.6,1,65.8,both,13.799999999999997
1612,2017,4,137,zach banner,Colts,T,11892.0,17.0,75.5,1,61.8,both,13.700000000000003
53,2010,2,55,sean lee,Cowboys,LB,5580.0,108.0,77.0,1,63.3,both,13.700000000000003
446,2012,1,24,david decastro,Steelers,G,7640.0,111.0,79.9,1,66.2,both,13.700000000000003
779,2013,5,159,micah hyde,Packers,DB,7941.0,110.0,73.8,1,60.1,both,13.699999999999996
172,2010,6,188,jonathan dwyer,Steelers,RB,5711.0,34.0,72.4,1,58.8,both,13.600000000000009
25,2010,1,27,devin mccourty,Patriots,DB,5552.0,155.0,79.5,1,66.0,both,13.5
333,2011,4,125,taiwan jones1,Raiders,RB,6277.0,32.0,74.8,1,61.3,both,13.5
241,2011,1,24,cameron jordan,Saints,DE,6176.0,144.0,79.7,1,66.2,both,13.5
999,2014,5,161,corey linsley,Packers,C,8796.0,86.0,74.1,1,60.6,both,13.499999999999993
1351,2016,3,89,javon hargrave,Steelers,DT,10723.0,63.0,75.6,1,62.2,both,13.399999999999991
91,2010,3,95,jimmy graham,Saints,TE,5619.0,153.0,74.6,1,61.3,both,13.299999999999997
1740,2018,2,49,dallas goedert,Eagles,TE,47272.0,31.0,78.5,1,65.3,both,13.200000000000003
435,2012,1,12,fletcher cox,Eagles,DT,7018.0,125.0,82.2,1,69.1,both,13.100000000000009
270,2011,2,55,rodney hudson,Chiefs,C,6207.0,115.0,76.3,1,63.3,both,13.0
1481,2016,7,244,jayron kearse,Vikings,DB,10878.0,38.0,73.4,1,60.6,both,12.800000000000004
296,2011,3,83,jerrel jernigan,Giants,WR,6235.0,28.0,74.3,1,61.5,both,12.799999999999997
1113,2015,2,61,ali marpet,Buccaneers,C,9494.0,72.0,77.4,1,64.7,both,12.700000000000003
324,2011,4,115,kendall hunter,49ers,RB,6267.0,43.0,73.4,1,60.7,both,12.700000000000003
108,2010,4,113,aaron hernandez,Patriots,TE,5637.0,38.0,73.2,1,60.5,both,12.700000000000003
65,2010,3,68,jon asamoah,Chiefs,G,5593.0,65.0,76.4,1,63.7,both,12.700000000000003
1133,2015,3,84,jordan hicks,Eagles,LB,9517.0,58.0,74.3,1,61.7,both,12.599999999999994
22,2010,1,24,dez bryant,Cowboys,WR,5549.0,113.0,78.8,1,66.2,both,12.599999999999994
449,2012,1,27,kevin zeitler,Bengals,G,7032.0,119.0,78.5,1,66.0,both,12.5
2019,2019,4,134,greg gaines,Rams,DT,48706.0,10.0,74.4,1,62.0,both,12.400000000000006
545,2012,4,128,rhett ellison,Vikings,RB,7128.0,113.0,73.8,1,61.4,both,12.399999999999999
227,2011,1,9,tyron smith,Cowboys,T,6161.0,131.0,82.5,1,70.2,both,12.299999999999997
544,2012,4,127,adrien robinson,Giants,TE,7127.0,13.0,74.3,1,62.0,both,12.299999999999997
1756,2018,3,68,justin reid,Texans,DB,49048.0,31.0,75.9,1,63.7,both,12.200000000000003
222,2011,1,4,a.j. green,Bengals,WR,6156.0,111.0,84.4,1,72.2,both,12.200000000000003
1488,2017,1,1,myles garrett,Browns,DE,11756.0,37.0,84.7,1,72.6,both,12.100000000000009
668,2013,2,35,zach ertz,Eagles,TE,7816.0,106.0,77.4,1,65.4,both,12.0
1793,2018,4,107,chris herndon,Jets,TE,47164.0,17.0,74.0,1,62.0,both,12.0
467,2012,2,45,alshon jeffery,Bears,WR,7048.0,102.0,77.9,1,65.9,both,12.0
1689,2017,7,239,noah brown,Cowboys,WR,11993.0,19.0,71.4,1,59.5,both,11.900000000000006
410,2011,7,233,lawrence guy,Packers,DT,6385.0,115.0,71.2,1,59.3,both,11.900000000000006
1656,2017,6,191,xavier woods,Cowboys,DB,11946.0,44.0,72.0,1,60.2,both,11.799999999999997
691,2013,2,61,eddie lacy,Packers,RB,7842.0,60.0,76.4,1,64.7,both,11.700000000000003
508,2012,3,89,akiem hicks,Saints,DE,7090.0,114.0,73.9,1,62.2,both,11.700000000000003
1315,2016,2,52,deion jones,Falcons,LB,10686.0,53.0,76.4,1,64.7,both,11.700000000000003
1997,2019,4,105,chauncey gardner-johnson,Saints,DB,49371.0,15.0,72.7,1,61.0,both,11.700000000000003
1692,2017,7,244,treyvon hester,Raiders,DT,11999.0,40.0,72.3,1,60.6,both,11.699999999999996
1442,2016,6,188,david morgan,Vikings,TE,10822.0,34.0,70.4,1,58.8,both,11.600000000000009
126,2010,5,133,kam chancellor,Seahawks,DB,5656.0,107.0,74.3,1,62.7,both,11.599999999999994
