,Pick,pickgrade
0,1,72.60000000000001
1,2,72.89999999999999
2,3,72.60000000000001
3,4,72.20000000000002
4,5,71.60000000000001
5,6,71.10000000000001
6,7,70.60000000000001
7,8,70.2
8,9,70.20000000000002
9,10,69.5
10,11,69.3
11,12,69.10000000000001
12,13,68.8
13,14,68.7
14,15,68.39999999999999
15,16,68.39999999999999
16,17,67.70000000000002
17,18,67.5
18,19,67.8
19,20,67.70000000000002
20,21,67.39999999999999
21,22,67.5
22,23,66.39999999999999
23,24,66.20000000000002
24,25,65.79999999999998
25,26,65.8
26,27,66.0
27,28,65.5
28,29,65.5
29,30,65.20000000000002
30,31,65.29999999999998
31,32,65.7
32,33,64.89999999999999
33,34,65.39999999999999
34,35,65.39999999999999
35,36,65.70000000000002
36,37,65.7
37,38,65.39999999999999
38,39,66.0
39,40,66.2
40,41,65.60000000000001
41,42,65.8
42,43,66.0
43,44,66.20000000000002
44,45,65.89999999999999
45,46,66.0
46,47,65.7
47,48,65.29999999999998
48,49,65.3
49,50,65.39999999999999
50,51,64.89999999999999
51,52,64.7
52,53,64.0
53,54,63.39999999999999
54,55,63.3
55,56,63.800000000000004
56,57,64.10000000000001
57,58,64.89999999999999
58,59,65.39999999999999
59,60,65.2
60,61,64.7
61,62,64.5
62,63,64.3
63,64,64.70000000000002
64,65,64.7
65,66,64.60000000000001
66,67,64.0
67,68,63.699999999999996
68,69,62.699999999999996
69,70,62.39999999999999
70,71,63.2
71,72,63.89999999999999
72,73,64.0
73,74,63.89999999999999
74,75,63.10000000000001
75,76,63.199999999999996
76,77,63.39999999999999
77,78,63.300000000000004
78,79,63.5
79,80,63.199999999999996
80,81,63.5
81,82,62.5
82,83,61.5
83,84,61.7
84,85,61.699999999999996
85,86,62.10000000000001
86,87,62.199999999999996
87,88,62.0
88,89,62.199999999999996
89,90,61.60000000000001
90,91,62.0
91,92,61.10000000000001
92,93,61.39999999999999
93,94,61.89999999999999
94,95,61.300000000000004
95,96,61.3
96,97,61.300000000000004
97,98,61.10000000000001
98,99,60.699999999999996
99,100,60.89999999999999
100,101,61.199999999999996
101,102,61.0
102,103,61.300000000000004
103,104,61.6
104,105,61.0
105,106,61.5
106,107,62.0
107,108,61.699999999999996
108,109,61.699999999999996
109,110,61.800000000000004
110,111,61.10000000000001
111,112,60.60000000000001
112,113,60.5
113,114,60.699999999999996
114,115,60.7
115,116,60.39999999999999
116,117,60.60000000000001
117,118,60.5
118,119,60.5
119,120,60.5
120,121,60.699999999999996
121,122,60.800000000000004
122,123,61.4
123,124,61.10000000000001
124,125,61.300000000000004
125,126,61.0
126,127,62.0
127,128,61.39999999999999
128,129,61.699999999999996
129,130,62.199999999999996
130,131,62.2
131,132,62.8
132,133,62.699999999999996
133,134,62.0
134,135,62.4
135,136,61.800000000000004
136,137,61.800000000000004
137,138,61.5
138,139,62.0
139,140,61.199999999999996
140,141,61.0
141,142,61.0
142,143,60.60000000000001
143,144,60.800000000000004
144,145,61.300000000000004
145,146,61.300000000000004
146,147,61.300000000000004
147,148,60.9
148,149,61.10000000000001
149,150,60.5
150,151,60.39999999999999
151,152,59.9
152,153,60.0
153,154,59.89999999999999
154,155,59.5
155,156,59.800000000000004
156,157,59.5
157,158,60.1
158,159,60.10000000000001
159,160,60.0
160,161,60.6
161,162,60.79999999999999
162,163,61.199999999999996
163,164,61.0
164,165,60.9
165,166,61.2
166,167,60.7
167,168,61.0
168,169,61.10000000000001
169,170,61.5
170,171,61.4
171,172,60.699999999999996
172,173,60.699999999999996
173,174,60.199999999999996
174,175,59.9
175,176,59.8
176,177,60.2
177,178,60.2
178,179,59.8
179,180,58.9
180,181,58.6
181,182,58.9
182,183,59.5
183,184,59.300000000000004
184,185,59.699999999999996
185,186,60.10000000000001
186,187,59.4
187,188,58.800000000000004
188,189,59.199999999999996
189,190,59.3
190,191,60.2
191,192,60.2
192,193,59.3
193,194,59.0
194,195,59.1
195,196,58.70000000000001
196,197,58.6
197,198,59.300000000000004
198,199,59.5
199,200,59.20000000000001
200,201,59.5
201,202,58.9
202,203,58.4
203,204,58.8
204,205,59.1
205,206,59.5
206,207,59.5
207,208,59.6
208,209,59.300000000000004
209,210,59.2
210,211,59.3
211,212,59.2
212,213,59.3
213,214,59.5
214,215,59.7
215,216,59.20000000000001
216,217,59.0
217,218,59.2
218,219,59.20000000000001
219,220,59.7
220,221,59.4
221,222,58.9
222,223,58.4
223,224,58.3
224,225,58.7
225,226,58.7
226,227,59.2
227,228,59.1
228,229,59.1
229,230,58.6
230,231,58.8
231,232,58.9
232,233,59.300000000000004
233,234,59.9
234,235,59.4
235,236,59.6
236,237,59.6
237,238,59.1
238,239,59.5
239,240,59.8
240,241,60.5
241,242,60.2
242,243,60.4
243,244,60.6
244,245,60.5
245,246,60.70000000000001
246,247,60.20000000000001
247,248,60.5
248,249,61.2
249,250,61.1
250,251,60.6
251,252,60.6
252,253,60.5
253,254,60.5
254,256,61.9
